date,symbol,open,close,low,high,volume
2019-10-21,FB,187.039993,189.759995,186.75,189.910004,8122600
2019-10-22,FB,190,182.339996,181.5,190.649994,19537600
2019-10-23,FB,182.009995,186.149994,182,186.380005,12300400
2019-10-24,FB,184.619995,186.380005,182.800003,186.729996,11413500
2019-10-25,FB,185.830002,187.889999,185.089996,189,8061200
2019-10-28,FB,187.199997,189.399994,185.080002,189.529999,13657900
2019-10-29,FB,191.690002,189.309998,188.470001,192.529999,13574900
2019-10-30,FB,189.559998,188.25,185.979996,190.449997,28734600
2019-10-31,FB,196.699997,191.649994,188.25,198.089996,42286500
2019-11-01,FB,192.850006,193.619995,189.910004,194.110001,21711800
2019-11-04,FB,194.550003,194.720001,193.809998,197.369995,16371300
2019-11-05,FB,195.369995,194.320007,193.600006,195.75,9942000
2019-11-06,FB,194.029999,191.550003,191.350006,194.369995,10973000
2019-11-07,FB,191.910004,190.419998,189.470001,193.440002,13473000
2019-11-08,FB,190,190.839996,189.699997,192.339996,10760800
2019-11-11,FB,189.929993,189.610001,188.539993,190.080002,8631200
2019-11-12,FB,190,194.470001,189.740005,195.059998,17615500
2019-11-13,FB,194.699997,193.190002,192.740005,195.699997,10860700
2019-11-14,FB,192.929993,193.149994,191.449997,194.029999,9040500
2019-11-15,FB,194.259995,195.100006,193.380005,195.300003,11524300
2019-11-18,FB,194.559998,197.399994,193.050003,198.630005,16167200
2019-11-19,FB,197.399994,199.320007,196.860001,200,19056800
2019-11-20,FB,198.580002,197.509995,195.429993,199.589996,12355400
2019-11-21,FB,197.419998,197.929993,196.860001,199.089996,12131000
2019-11-22,FB,198.380005,198.820007,197.619995,199.300003,9959800
2019-11-25,FB,199.520004,199.789993,199.25,200.970001,15272300
2019-11-26,FB,200,198.970001,198.039993,200.149994,11735500
2019-11-27,FB,199.899994,202,199.419998,203.139999,12736600
2019-11-29,FB,201.600006,201.639999,201.210007,203.800003,7985200
2019-12-02,FB,202.130005,199.699997,198.050003,202.179993,11503400
2019-12-03,FB,197.600006,198.820007,195.080002,198.929993,11595300
2019-12-04,FB,200,198.710007,198.050003,200.029999,8456300
2019-12-05,FB,199.860001,199.360001,198.210007,201.289993,9740400
2019-12-06,FB,200.5,201.050003,200.059998,201.570007,12270600
2019-12-09,FB,200.649994,201.339996,200.210007,203.139999,11954800
2019-12-10,FB,201.660004,200.869995,200.149994,202.050003,9475700
2019-12-11,FB,200.279999,202.259995,200.279999,202.630005,8036800
2019-12-12,FB,202.350006,196.75,194.100006,203.660004,23734800
2019-12-13,FB,196.399994,194.110001,193.169998,196.800003,18798000
2019-12-16,FB,195.270004,197.919998,194.809998,199.119995,14911500
2019-12-17,FB,198.839996,198.389999,196.130005,199,10175700
2019-12-18,FB,200.089996,202.5,200.089996,204.300003,23274400
2019-12-19,FB,202.779999,206.059998,202.509995,206.300003,16514600
2019-12-20,FB,207.479996,206.300003,203.429993,207.710007,27306900
2019-12-23,FB,206.699997,206.179993,205.679993,208.589996,13348900
2019-12-24,FB,206.300003,205.119995,205,206.789993,6046300
2019-12-26,FB,205.570007,207.789993,205.309998,207.820007,9350700
2019-12-27,FB,208.669998,208.100006,206.589996,208.929993,10284200
2019-12-30,FB,207.860001,204.410004,203.899994,207.899994,10524300
2019-12-31,FB,204,205.25,203.600006,205.559998,8953500
2020-01-02,FB,206.75,209.779999,206.270004,209.789993,12077100
2020-01-03,FB,207.210007,208.669998,206.949997,210.399994,11188400
2020-01-06,FB,206.699997,212.600006,206.520004,212.779999,17058900
2020-01-07,FB,212.820007,213.059998,211.75,214.580002,14912400
2020-01-08,FB,213,215.220001,212.610001,216.240005,13475000
2020-01-09,FB,217.539993,218.300003,216.279999,218.380005,12642800
2020-01-10,FB,219.199997,218.059998,217.419998,219.880005,12119400
2020-01-13,FB,219.600006,221.910004,219.210007,221.970001,14463400
2020-01-14,FB,221.610001,219.059998,218.630005,222.380005,13288900
2020-01-15,FB,220.610001,221.149994,220.139999,221.679993,10036500
2020-01-16,FB,222.570007,221.770004,220.389999,222.630005,10015300
2020-01-17,FB,222.029999,222.139999,220.529999,222.289993,15905900
2020-01-21,FB,222.160004,221.440002,219.119995,222.369995,14275800
2020-01-22,FB,222.309998,221.320007,221.279999,222.75,12212800
2020-01-23,FB,220.75,219.759995,219.270004,221.490005,11195000
2020-01-24,FB,220.800003,217.940002,216.110001,221.779999,11905800
2020-01-27,FB,213.100006,214.869995,212.5,216.059998,13810700
2020-01-28,FB,216.139999,217.789993,213.520004,218.740005,13413800
2020-01-29,FB,221.440002,223.229996,218.449997,224.199997,33181300
