date,symbol,open,close,low,high,volume
2019-07-11,NFLX,381.100006,379.5,378.799988,384.540009,4336300
2019-07-12,NFLX,378.679993,373.25,372.790009,379.73999,6636900
2019-07-15,NFLX,372.940002,366.600006,362.299988,373.679993,7944700
2019-07-16,NFLX,370.089996,365.98999,364.920013,371.339996,5863200
2019-07-17,NFLX,366.25,362.440002,361.75,366.5,13639500
2019-07-18,NFLX,323.76001,325.209991,320.299988,329.850006,31287100
2019-07-19,NFLX,323.399994,315.100006,314.230011,325.850006,16302500
2019-07-22,NFLX,312,310.619995,305.809998,314.540009,17718000
2019-07-23,NFLX,311.440002,307.299988,306,313.5,9171100
2019-07-24,NFLX,310.51001,317.940002,307.25,319.98999,11961800
2019-07-25,NFLX,318.859985,326.459991,316.299988,327.690002,10798500
2019-07-26,NFLX,328.790009,335.779999,327.5,336,10847500
2019-07-29,NFLX,335.980011,332.700012,328.769989,336.399994,5782800
2019-07-30,NFLX,329.200012,325.929993,323.230011,329.649994,6029300
2019-07-31,NFLX,325.160004,322.98999,318.529999,331.769989,6259500
2019-08-01,NFLX,324.25,319.5,318.73999,328.579987,6563200
2019-08-02,NFLX,317.48999,318.829987,311.799988,319.410004,6280300
2019-08-05,NFLX,310.959991,307.630005,304.679993,313.420013,8692500
2019-08-06,NFLX,310.579987,310.100006,305.299988,311.880005,6179100
2019-08-07,NFLX,302.559998,304.290009,296.809998,305,9322400
2019-08-08,NFLX,311.029999,315.899994,306.630005,316.359985,5905900
2019-08-09,NFLX,313.73999,308.929993,305.679993,316.640015,5349100
2019-08-12,NFLX,305.459991,310.829987,303.23999,312.890015,6531700
2019-08-13,NFLX,309.769989,312.279999,308.160004,316.429993,5289400
2019-08-14,NFLX,308.01001,299.109985,298.01001,308.410004,7355800
2019-08-15,NFLX,299.5,295.76001,288,300.630005,9629200
2019-08-16,NFLX,298.859985,302.799988,296.269989,303.549988,6905800
2019-08-19,NFLX,306.25,309.380005,304.75,311.75,4942200
2019-08-20,NFLX,304.570007,298.98999,297.679993,305,7349900
2019-08-21,NFLX,301.609985,297.809998,296.200012,302.880005,5685400
2019-08-22,NFLX,298.649994,296.929993,293.149994,300.329987,4974200
2019-08-23,NFLX,295,291.440002,290.320007,299.01001,6324900
2019-08-26,NFLX,295.23999,294.980011,292.5,296.950012,4695700
2019-08-27,NFLX,294.540009,291.029999,287.200012,296.769989,6309400
2019-08-28,NFLX,289.470001,291.769989,287.75,292.820007,3955700
2019-08-29,NFLX,295,296.779999,294.98999,299.929993,4388500
2019-08-30,NFLX,298.779999,293.75,290.850006,298.940002,4446400
2019-09-03,NFLX,290.820007,289.290009,288.059998,293.899994,3682800
2019-09-04,NFLX,291.25,291.519989,286.51001,292.380005,4652500
2019-09-05,NFLX,285.320007,293.25,282.790009,293.970001,8966800
2019-09-06,NFLX,293.350006,290.170013,287.029999,293.350006,5166600
2019-09-09,NFLX,294.809998,294.339996,290.600006,301.549988,8232700
2019-09-10,NFLX,291.160004,287.98999,282.660004,297.170013,12320200
2019-09-11,NFLX,285.700012,288.269989,284.609985,292.649994,7405900
2019-09-12,NFLX,288.100006,288.859985,286.600006,292.730011,5010900
2019-09-13,NFLX,290.609985,294.149994,290.040009,296.619995,6583100
2019-09-16,NFLX,294.230011,294.290009,289.779999,297.429993,5307400
2019-09-17,NFLX,294.5,298.600006,291.790009,299.149994,4777100
2019-09-18,NFLX,294.98999,291.559998,287.450012,296.049988,7811100
2019-09-19,NFLX,291.559998,286.600006,283.399994,293.809998,8461300
2019-09-20,NFLX,280.26001,270.75,266,282.5,23832800
2019-09-23,NFLX,268.350006,265.920013,261.890015,273.390015,13478600
2019-09-24,NFLX,262.5,254.589996,252.279999,265,16338200
2019-09-25,NFLX,255.710007,264.75,253.699997,266.600006,11643800
2019-09-26,NFLX,266.420013,263.309998,260.200012,268.049988,7684000
2019-09-27,NFLX,266.179993,263.079987,260.390015,267.440002,7328300
2019-09-30,NFLX,264,267.619995,262.779999,268.880005,6727200
2019-10-01,NFLX,267.350006,269.579987,264.029999,272.200012,8650300
2019-10-02,NFLX,263.609985,268.029999,262.190002,269.350006,7659100
2019-10-03,NFLX,267.779999,268.149994,257.01001,268.839996,8951000
2019-10-04,NFLX,268.200012,272.790009,266.470001,275.480011,9890400
2019-10-07,NFLX,271.98999,274.459991,271.279999,276.679993,6525600
2019-10-08,NFLX,273.029999,270.720001,270.640015,275.529999,6276400
2019-10-09,NFLX,270.019989,267.529999,264.570007,271,6794400
